clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.408178454,0.402728888,30.79561296,4278.76321
25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.532303678,0.464165541,37.97024343,6318.70872
12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.62818447,0.517544673,44.10669723,8357.06722
12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.555568429,0.479607332,39.47518677,6749.51819
25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.540082008,0.463759475,37.60167915,6575.59267
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.63849268,0.501877874,40.17143065,7241.37053
12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.581744319,0.485989695,39.46756134,7457.50606
12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.583378727,0.488568502,40.64163782,7963.93931
12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.601357636,0.50251773,42.24537298,7576.39253
12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.483805569,0.417545412,35.92331365,4868.21145
25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.463187081,0.424728104,33.3406292,5329.2632
25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.456503309,0.427937649,33.53267475,5597.02216
25.0,0.5,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.492809568,0.444139023,35.34533175,5755.70016
25.0,0.75,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.57467888,0.48591169,41.13589278,7935.09476
12.5,0.25,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.556301788,0.476149113,39.18675925,6880.7759
12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.492994856,0.447597174,35.11807556,6830.96605
12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.39936701,0.409907136,30.5797224,4056.83427
12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.485548321,0.440675594,35.02172542,5531.35174
25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.44784861,0.398804938,32.66436708,4913.22292
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.447780771,0.398116316,32.79766623,5128.16351
25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.376670148,0.40030353,29.97539813,3387.78516
12.5,0.25,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.51204794,0.466474508,38.1617313,6528.79888
12.5,0.25,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.535863236,0.443889013,37.02177209,6539.11085
25.0,0.25,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.382036352,0.382602075,29.76469664,3826.17226
12.5,0.25,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.592798225,0.492641907,41.36494454,7536.09687
25.0,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.506260198,0.459464772,36.09379556,7660.88604
12.5,0.25,0.38,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.575785764,0.486889324,40.39944387,7297.7321
12.5,0.25,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.598814008,0.492641907,41.6216451,7920.06175
37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.350874635,0.381851426,29.28433587,3748.46547
25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.524887803,0.46389552,37.7247238,6260.47363
12.5,0.25,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.51425307,0.452680279,36.3623002,6146.83152
12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.456503309,0.390310494,31.13021301,5932.23909
25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.473142233,0.43491928,39.64669117,7443.62446
25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.386657299,0.403476889,30.68558673,4010.55215
25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.527591617,0.45807618,36.82658691,6771.72291
12.5,0.25,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.588987285,0.48881217,40.55501923,7861.46538
25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.352247872,0.392483444,31.79785543,3501.17992
12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.449875425,0.42727728,33.59602928,4966.77945
25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.447668818,0.423763672,33.44938499,4936.36477
25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.552754142,0.473660277,38.84880688,6392.35667
12.5,0.25,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.46082121,0.409760795,32.69048728,5455.11891
25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.398976956,0.40166998,30.90686128,4068.35066
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.596551315,0.498475898,41.54582317,7541.6674
12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.577201619,0.48363057,39.92318644,7107.60976
25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.395911623,0.408088064,31.67018669,4201.43596
12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.523845567,0.433081146,37.30376378,6822.97163
25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.542170237,0.476308423,38.70569591,6575.59267
25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.378917495,0.387580455,29.2486781,4278.76321
12.5,0.25,0.25,0.25,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.477961423,0.438231396,34.33876109,5601.20531
25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.561962455,0.476588872,38.17659701,6318.70872
25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.475118209,0.418867231,34.0430221,5735.13303
25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.508341786,0.451905492,36.84586824,6132.41738
12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.575589557,0.482874674,40.0282126,6347.56076
12.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.568853507,0.458254721,36.34050331,6687.25926
25.0,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.52391434,0.434349356,36.04067528,7616.70599
25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.620391949,0.514873193,43.97470322,5322.84043
12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.533820778,0.467723959,38.15150253,7206.90196
25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.447668818,0.429710486,33.3649925,4867.94772
25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.552071106,0.470881708,38.60776797,7103.50894
12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.492994856,0.449545727,35.09473308,6503.27204
37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.489823352,0.445284233,34.43568098,4898.83586
25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.408487848,0.401067837,30.15219795,4357.82292
12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.589306067,0.486816771,40.73826603,7406.90248
12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.53255682,0.465807165,43.50571347,6301.03442
25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.462842336,0.426177521,33.97877886,5715.0084
25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.376670148,0.388821721,33.221987,3385.148
25.0,0.5,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.521414646,0.462795445,37.71251297,6409.14001
25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.427977027,0.393418576,30.22351864,4393.52743
25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.451083154,0.429702536,33.85831713,5150.94289
12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.443419908,0.426240102,33.29902167,4870.62537
25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.449875425,0.393781726,31.92881551,4966.77945
25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.533196209,0.465807165,37.62977375,6335.29639
12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.566350244,0.486003684,39.06314597,6467.65476
12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.641617746,0.409438226,31.10161493,8711.20896
25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.559324725,0.479866804,38.45252155,6524.29532
25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.48180056,0.443504,35.89837298,2379.90521
12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.620391949,0.514873193,43.65957738,8109.2305
25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.490965919,0.442111609,35.72822346,5720.72316
25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.315500071,0.379871916,27.40175511,3049.26032
25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.476364762,0.428118259,33.23191007,5178.27031
25.0,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.372996552,0.378818413,29.90851804,3373.43684
12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.579179402,0.484349504,40.03902035,7298.0026
12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.47960301,0.417365455,33.97877886,5830.89362
25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.379908358,0.381851426,29.90851804,3923.90628
12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.589622441,0.484307576,40.55501923,7441.50942
25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.437188153,0.416107584,32.41787171,4745.46028
12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.543966758,0.44549439,37.4186977,7576.39253
20.0,18.43,0.0,0.0,0.0,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.07,0.284442614,0.355875536,26.48732245,2825.00374
12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.635017998,0.521053692,43.93700206,8307.38018
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.5561803,0.472521274,39.67566796,6795.88187
12.5,0.25,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.546003143,0.475965002,37.07093657,6717.44627
12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.448841436,0.425331523,33.85831713,5381.27266
25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.459357936,0.416537797,33.60574758,5566.52275
12.5,0.25,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.424778393,0.402855862,31.44841986,4575.76991
25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.56581933,0.440241496,36.2542016,6277.16867
25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.534251703,0.476588872,37.38218685,6475.89456
12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.53255682,0.465680233,38.28235597,7732.22522
25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.57467888,0.481173502,39.98873363,7714.3231
25.0,0.5,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.384633032,0.400831119,28.28409524,2688.02883
25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.576561833,0.476588872,39.08127039,6942.3963
12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.608455265,0.504233755,41.92156882,7637.63338
25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.408178454,0.409862936,31.08154655,4218.32799
25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.439101795,0.398116316,31.92881551,5124.8549
25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.430443779,0.408088064,32.29905902,4737.63925
25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.470646057,0.43910209,34.95797729,4575.76991
25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.552737417,0.476928353,38.49354994,8621.81568
12.5,0.25,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.63346314,0.529501569,43.17615175,8134.72655
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.473993739,0.437681481,34.33849206,5296.61109
12.5,0.25,0.25,0.38,0.38,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.551234401,0.471125278,38.70569591,6752.01695
25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.578887446,0.480106144,39.50188081,5720.72316
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.5138891,0.451546571,36.49354994,6060.28382
25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.598814008,0.497864974,41.71941614,8307.38018
25.0,0.5,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.464365879,0.432440021,33.23244939,6244.19576
25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.391598449,0.402838656,31.13659362,3900.34404
25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.528899809,0.437681481,34.87061011,8969.40184
25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.480072982,0.449875425,33.3039002,5632.45917
25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.378917495,0.392787396,30.79125626,3662.18313
12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.425493214,0.436865942,32.70643359,4575.76991
25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.429210588,0.405525072,31.02327724,4503.16186
25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.447040787,0.425457642,33.28480863,4870.62537
25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.505120461,0.450692194,34.87061011,5016.74159
12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.506346175,0.45807618,36.82658691,6117.4759
12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.530709113,0.440241496,36.95787336,6887.46649
25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.489823352,0.445339632,35.48700839,4853.8076
25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.382036352,0.399530934,30.5255093,4228.81888
12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.551234401,0.471161461,38.34178123,7243.22611
25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.559764762,0.471871207,38.6254357,7234.25525
12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.538703555,0.464561582,37.67828481,6493.47253
12.5,0.25,0.25,0.38,0.25,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.596753394,0.490020262,41.35738644,6731.71221
25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.496636394,0.446434723,35.92331365,5934.01088
25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.645475445,0.527895672,45.47838117,8671.71681
12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.570329618,0.480779062,39.67566796,7241.37053
12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.540082008,0.459224426,37.60167915,6331.86722
12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.492076861,0.442111609,35.72210168,6117.4759
25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.480072982,0.442111609,35.51371293,5729.56964
25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.532227877,0.456450549,37.78228845,5971.39402
12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.520986614,0.433668483,35.80706195,6376.66256
25.0,0.5,0.38,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.460205797,0.409976946,32.46088718,5128.16351
25.0,0.5,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.43687052,0.415971082,31.85521692,4808.60902
25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.506987743,0.450537939,36.49496278,6189.7798
25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.425493214,0.383219703,29.83315835,4393.52743
25.0,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.579981861,0.485752533,40.17143065,7236.09025
12.5,0.25,0.25,0.25,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.521414646,0.461179325,37.67828481,6239.53349
25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.495479339,0.448568502,35.27931173,5911.49359
25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.420206355,0.39248084,30.12737627,4234.86859
25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.430443779,0.402182926,32.09005649,4737.63925
25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.496636394,0.449545727,35.62231346,5946.15842
25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.551234401,0.471828735,38.6254357,5739.68029
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.605758307,0.500029301,41.17642111,7804.62795
25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.583378727,0.48881217,40.81318096,7041.38018
25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.395387929,0.399983862,30.27510191,4247.50893
12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.498657334,0.442193092,34.79781929,5367.61826
25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.551264467,0.473088807,38.6254357,6735.24371
25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.396762494,0.395636151,31.67018669,4200.97375
12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.46274257,0.40878935,32.78937613,6093.31527
25.0,0.5,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.621810512,0.513728593,43.95536146,8263.28974
12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.498715892,0.448972519,35.84349356,7183.10038
25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.507541905,0.430368732,35.16668937,6595.90158
12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.454937519,0.394711432,31.78225878,6019.26248
25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.450102564,0.401931944,32.41787171,5033.68556
12.5,0.25,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.596753394,0.495164177,41.61500537,7041.38018
12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.633144179,0.51715975,44.56159301,8174.46338
25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.476911433,0.466670798,38.15150253,4888.50303
25.0,0.5,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.522435446,0.457945593,37.03329756,5954.51315
12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.386011221,0.39728943,30.60468328,4042.84264
25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.443419908,0.42726083,33.3039002,5453.99382
12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.587319779,0.485989695,40.57478166,7690.1749
12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.571708025,0.442111609,39.91734321,7152.13259
25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.47771355,0.43910209,34.64257354,5428.10602
25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.465538066,0.409033913,32.6584962,5602.02293
25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.416271363,0.409438226,31.57755786,4350.42467
25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.393394771,0.401091418,30.39027791,4245.28573
25.0,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.325920891,0.377915162,27.19065136,3276.36206
25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.551775489,0.477778535,38.52587501,6998.37875
25.0,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.455340281,0.403129918,32.46181948,5403.69852
25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.528899809,0.460305334,37.77154371,6071.2289
25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.473142233,0.430905502,34.01445364,5446.69747
25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.635017998,0.521136035,39.23966787,7005.0386
12.5,0.25,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.426064568,0.414830175,31.85521692,4641.00151
25.0,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.487214901,0.416085184,33.221987,5534.80494
12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.587276072,0.494864674,41.54582317,7175.06898
12.5,0.25,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.603524723,0.50404651,41.6216451,7455.41638
